행정구역별(시군구),2010,2010,2010,2010,2010
행정구역별(시군구),총가구,일반가구,집단가구,집단시설가구,외국인
군산시,95649,94944,26,72,607
익산시,110048,109391,53,77,527
정읍시,43950,43716,29,51,154
남원시,31444,31329,17,28,70
김제시,33450,33295,26,33,96
완주군,29931,29493,43,45,350
진안군,9177,9153,3,9,12
무주군,9491,9476,1,8,6
장수군,8321,8300,7,5,9
임실군,10720,10693,5,7,15
순창군,10913,10891,1,11,10
고창군,22871,22782,8,28,53
부안군,21650,21600,8,10,32
전라남도,684986,681431,368,475,2712
목포시,92189,91723,41,37,388
여수시,99585,99271,27,41,246
순천시,92382,92131,36,49,166
나주시,31976,31795,32,34,115
광양시,49610,49388,20,29,173
담양군,15570,15487,12,29,42
곡성군,11754,11704,12,11,27
구례군,9776,9753,2,8,13
고흥군,29896,29852,10,16,18
보성군,18430,18382,3,15,30
화순군,24955,24862,7,19,67
장흥군,16046,15997,2,15,32
강진군,15035,14985,9,13,28
해남군,28520,28460,9,24,27
영암군,24238,23161,44,23,1010
무안군,25905,25780,11,36,78
함평군,13408,13351,9,12,36
영광군,20287,20210,11,19,47
장성군,15219,15071,29,18,101
완도군,20913,20856,10,7,40
진도군,13126,13098,7,4,17
신안군,16166,16114,25,16,11
경상북도,1014345,1005349,901,894,7201
포항시,187620,186714,42,117,747
경주시,100333,99125,122,94,992
김천시,49108,48843,73,54,138
안동시,64660,64361,25,75,199
구미시,147063,145331,233,98,1401
영주시,41828,41701,5,45,77
영천시,38356,38086,41,33,196
상주시,41142,40983,21,45,93
문경시,28338,28223,13,31,71
경산시,102823,100576,101,108,2038
군위군,9400,9348,10,9,33
의성군,24279,24214,7,20,38
청송군,11307,11287,3,10,7
영양군,7512,7498,1,5,8
영덕군,17026,16966,13,8,39
청도군,16721,16657,14,27,23
고령군,13177,12930,46,11,190
성주군,15303,15138,26,24,115
칠곡군,41008,40220,75,52,661
예천군,19271,19214,8,12,37
봉화군,13739,13693,10,8,28
울진군,20822,20747,7,8,60
울릉군,3509,3494,5,0,10
경상남도,1165209,1151172,1429,652,11956
진주시,122799,122011,81,70,637
통영시,50643,50155,46,18,424
사천시,41913,41320,44,27,522
김해시,168404,165258,466,77,2603
밀양시,40437,40285,13,43,96
거제시,82628,80074,173,68,2313
양산시,88479,87494,145,41,799
창원시,376075,372108,245,140,3582
의령군,11819,11740,15,16,48
함안군,24214,23834,76,16,288
창녕군,24243,23983,17,23,220
고성군,21653,21437,37,25,154
남해군,19786,19694,8,18,66
하동군,18382,18345,8,6,23
산청군,13512,13469,14,9,20
함양군,16433,16351,9,20,53
거창군,23534,23459,7,17,51
합천군,20255,20155,25,18,57
제주특별자치도,188365,187323,115,128,799
제주시,140251,139485,67,92,607
서귀포시,48114,47838,48,36,192
