행정구역별(시군구),1990,1990,1990
행정구역별(시군구),총가구,일반가구,외국인
전국,11361096,11354540,6556
서울특별시,2817762,2814845,2917
부산직할시,994033,993375,658
대구직할시,597486,597150,336
인천직할시,485870,485404,466
광주직할시,288063,287950,113
대전직할시,262348,262193,155
경기도,1619606,1619156,450
강원도,413116,412918,198
충청북도,354193,354064,129
충청남도,478738,478579,159
전라북도,517354,517181,173
전라남도,619957,619767,190
경상북도,789062,788896,166
경상남도,992084,991695,389
제주도,131424,131367,57
