행정구역별(시군구),2000,2000,2000,2000,2000,2000
행정구역별(시군구),총주택,단독주택,아파트,연립주택,다세대주택,영업용건물내 주택
전국,10959342,4069463,5231319,812872,453117,392571
서울특별시,1916537,489662,974910,215319,177275,59371
부산광역시,805212,263715,425201,57606,31121,27569
대구광역시,530789,177438,302384,15445,16235,19287
인천광역시,614081,116237,338297,80142,63581,15824
광주광역시,324337,90550,218524,3892,764,10607
대전광역시,320723,82962,191420,28668,6868,10805
울산광역시,229358,60569,141796,12050,6628,8315
경기도,2045173,486512,1156803,240744,105395,55719
강원도,419294,212408,162146,21602,1885,21253
충청북도,395945,190706,167761,18390,2972,16116
충청남도,536825,314075,165657,27342,7434,22317
전라북도,536492,283276,215665,13988,2071,21492
전라남도,607018,400592,162479,12220,1682,30045
경상북도,774628,438365,259168,28885,10197,38013
경상남도,780603,387864,326752,25957,10035,29995
제주도,122327,74532,22356,10622,8974,5843
