행정구역별(시군구),2010,2010,2010,2010,2010,2010,2010,2010,2010
행정구역별(시군구),총인구,남자,여자,총내국인,남자,여자,총외국인,남자,여자
평택시,388508,197235,191273,381731,193189,188542,6777,4046,2731
동두천시,91828,45499,46329,90433,44708,45725,1395,791,604
안산시,728775,373471,355304,699063,356059,343004,29712,17412,12300
고양시,905076,443323,461753,897222,439587,457635,7854,3736,4118
과천시,66704,32810,33894,66319,32634,33685,385,176,209
구리시,185550,91450,94100,184503,91003,93500,1047,447,600
남양주시,529898,263646,266252,526639,261921,264718,3259,1725,1534
오산시,183890,93430,90460,180996,92124,88872,2894,1306,1588
시흥시,407090,214273,192817,393293,205262,188031,13797,9011,4786
군포시,278083,138185,139898,274198,136179,138019,3885,2006,1879
의왕시,144501,72166,72335,143378,71569,71809,1123,597,526
하남시,138829,70034,68795,137569,69365,68204,1260,669,591
용인시,856765,424383,432382,847138,419471,427667,9627,4912,4715
파주시,328128,166278,161850,323955,163570,160385,4173,2708,1465
이천시,195175,96963,98212,192918,95643,97275,2257,1320,937
안성시,179782,91663,88119,175824,89313,86511,3958,2350,1608
김포시,224350,114596,109754,217280,109124,108156,7070,5472,1598
화성시,488758,253385,235373,474160,242708,231452,14598,10677,3921
광주시,228747,116495,112252,224269,113572,110697,4478,2923,1555
양주시,187911,95714,92197,183673,92489,91184,4238,3225,1013
포천시,140997,72813,68184,136580,69508,67072,4417,3305,1112
여주군,101203,50060,51143,100052,49362,50690,1151,698,453
연천군,41770,21428,20342,41295,21096,20199,475,332,143
가평군,50879,25619,25260,50272,25381,24891,607,238,369
양평군,82802,41028,41774,82131,40733,41398,671,295,376
강원도,1471513,738399,733114,1463650,735075,728575,7863,3324,4539
춘천시,276232,136312,139920,274220,135482,138738,2012,830,1182
원주시,311449,155734,155715,309803,154928,154875,1646,806,840
강릉시,218471,108806,109665,217481,108390,109091,990,416,574
동해시,90574,45999,44575,90321,45910,44411,253,89,164
태백시,51558,26457,25101,51400,26413,24987,158,44,114
속초시,80791,39166,41625,80505,39038,41467,286,128,158
삼척시,67454,34064,33390,67131,33901,33230,323,163,160
홍천군,62888,31643,31245,62540,31527,31013,348,116,232
횡성군,37798,18646,19152,37497,18493,19004,301,153,148
영월군,35050,17526,17524,34880,17453,17427,170,73,97
평창군,37522,18758,18764,37349,18711,18638,173,47,126
정선군,35980,18438,17542,35804,18396,17408,176,42,134
철원군,43271,22300,20971,43109,22246,20863,162,54,108
화천군,22119,12455,9664,22015,12422,9593,104,33,71
양구군,19363,10190,9173,19252,10163,9089,111,27,84
인제군,28765,15300,13465,28591,15230,13361,174,70,104
고성군,26753,13638,13115,26458,13501,12957,295,137,158
양양군,25475,12967,12508,25294,12871,12423,181,96,85
충청북도,1512157,758214,753943,1495984,748622,747362,16173,9592,6581
청주시,666924,332260,334664,662102,329906,332196,4822,2354,2468
충주시,203212,102103,101109,201361,100998,100363,1851,1105,746
제천시,134698,67411,67287,133626,66910,66716,1072,501,571
청원군,143762,72929,70833,142017,71849,70168,1745,1080,665
보은군,30509,14596,15913,30311,14527,15784,198,69,129
옥천군,49730,24509,25221,49295,24270,25025,435,239,196
영동군,46231,22618,23613,45974,22512,23462,257,106,151
진천군,61915,32602,29313,59324,30623,28701,2591,1979,612
괴산군,31392,15266,16126,31116,15100,16016,276,166,110
음성군,84088,44178,39910,81645,42415,39230,2443,1763,680
단양군,28165,13887,14278,28009,13834,14175,156,53,103
증평군,31531,15855,15676,31204,15678,15526,327,177,150
충청남도,2028002,1023882,1004120,2000473,1007454,993019,27529,16428,11101
천안시,574623,293376,281247,565201,287547,277654,9422,5829,3593
공주시,122153,59745,62408,120660,59058,61602,1493,687,806
보령시,97770,48539,49231,97091,48142,48949,679,397,282
아산시,278676,144119,134557,272282,139990,132292,6394,4129,2265
서산시,156843,80700,76143,155082,79691,75391,1761,1009,752
논산시,119222,58483,60739,117686,57703,59983,1536,780,756
계룡시,41528,20758,20770,41395,20707,20688,133,51,82
금산군,52952,25982,26970,52442,25796,26646,510,186,324
연기군,81447,41929,39518,80542,41371,39171,905,558,347
부여군,67584,32552,35032,67102,32324,34778,482,228,254
서천군,53914,25716,28198,53620,25580,28040,294,136,158
청양군,29755,14327,15428,29506,14214,15292,249,113,136
홍성군,82811,40691,42120,81876,40149,41727,935,542,393
